"Plot Title: OL_4"
"#","Date Time, GMT-07:00","Light (LGR S/N: 10983451, SEN S/N: 10983451, LBL: Light_4)","Occupancy (LGR S/N: 10983451, SEN S/N: 10983451, LBL: Occ_4)"
218,07/20/22 06:53:10 AM,,0.00
219,07/20/22 07:09:21 AM,,1.00
220,07/20/22 07:11:27 AM,,0.00
221,07/20/22 07:16:42 AM,1.00,
222,07/20/22 07:26:51 AM,,1.00
223,07/20/22 07:28:03 AM,,0.00
224,07/20/22 07:29:14 AM,,1.00
225,07/20/22 07:32:51 AM,,0.00
226,07/20/22 07:41:35 AM,,1.00
227,07/20/22 07:44:30 AM,,0.00
228,07/20/22 07:45:04 AM,,1.00
229,07/20/22 07:47:43 AM,,0.00
230,07/20/22 07:48:05 AM,,1.00
231,07/20/22 07:49:09 AM,,0.00
232,07/20/22 07:49:41 AM,,1.00
233,07/20/22 07:50:51 AM,,0.00
234,07/20/22 07:57:17 AM,,1.00
235,07/20/22 07:58:42 AM,,0.00
236,07/20/22 11:54:01 AM,,1.00
237,07/20/22 11:55:07 AM,,0.00
238,07/20/22 12:25:01 PM,,1.00
239,07/20/22 12:26:04 PM,,0.00
240,07/20/22 12:26:06 PM,,1.00
241,07/20/22 12:27:42 PM,,0.00
242,07/20/22 12:29:24 PM,,1.00
243,07/20/22 12:32:27 PM,,0.00
244,07/20/22 12:37:19 PM,,1.00
245,07/20/22 12:38:22 PM,,0.00
246,07/20/22 12:38:37 PM,,1.00
247,07/20/22 12:39:42 PM,,0.00
248,07/20/22 05:29:04 PM,,1.00
249,07/20/22 05:32:01 PM,,0.00
250,07/20/22 05:42:31 PM,,1.00
251,07/20/22 05:43:32 PM,,0.00
252,07/20/22 05:44:01 PM,,1.00
253,07/20/22 05:45:27 PM,,0.00
254,07/20/22 05:46:48 PM,,1.00
255,07/20/22 05:48:02 PM,,0.00
256,07/20/22 05:54:14 PM,,1.00
257,07/20/22 06:00:43 PM,,0.00
258,07/20/22 06:01:32 PM,,1.00
259,07/20/22 06:03:27 PM,,0.00
260,07/20/22 06:04:13 PM,,1.00
261,07/20/22 06:09:18 PM,,0.00
262,07/20/22 06:35:15 PM,,1.00
263,07/20/22 06:36:30 PM,,0.00
264,07/20/22 06:37:26 PM,,1.00
265,07/20/22 06:38:29 PM,,0.00
266,07/20/22 06:52:34 PM,,1.00
267,07/20/22 06:53:39 PM,,0.00
268,07/20/22 06:54:18 PM,,1.00
269,07/20/22 06:55:30 PM,,0.00
270,07/20/22 07:40:36 PM,,1.00
271,07/20/22 08:08:40 PM,,0.00
272,07/20/22 08:08:56 PM,,1.00
273,07/20/22 08:12:03 PM,,0.00
274,07/20/22 08:12:15 PM,,1.00
275,07/20/22 08:14:17 PM,0.00,
276,07/20/22 08:15:46 PM,,0.00
277,07/20/22 08:16:00 PM,,1.00
278,07/20/22 08:17:10 PM,,0.00
279,07/20/22 08:17:28 PM,,1.00
280,07/20/22 08:17:50 PM,1.00,
281,07/20/22 08:20:30 PM,,0.00
282,07/20/22 08:20:32 PM,,1.00
283,07/20/22 08:20:44 PM,0.00,
284,07/20/22 08:21:55 PM,,0.00
285,07/20/22 09:50:32 PM,,1.00
286,07/20/22 09:52:04 PM,,0.00
287,07/20/22 09:53:18 PM,,1.00
288,07/20/22 09:54:37 PM,,0.00
289,07/20/22 09:54:38 PM,,1.00
290,07/20/22 09:57:09 PM,,0.00
291,07/20/22 09:57:23 PM,,1.00
292,07/20/22 09:58:34 PM,,0.00
293,07/20/22 10:02:59 PM,,1.00
294,07/20/22 10:04:02 PM,,0.00
295,07/20/22 10:04:54 PM,,1.00
296,07/20/22 10:06:35 PM,,0.00
297,07/20/22 10:08:48 PM,,1.00
298,07/20/22 10:09:52 PM,,0.00
299,07/20/22 10:27:42 PM,,1.00
300,07/20/22 10:32:45 PM,,0.00
301,07/20/22 10:37:57 PM,,1.00
302,07/20/22 10:40:57 PM,,0.00
303,07/20/22 10:47:06 PM,,1.00
304,07/20/22 10:49:13 PM,,0.00
305,07/20/22 10:51:35 PM,,1.00
306,07/20/22 10:52:35 PM,,0.00
307,07/20/22 10:55:09 PM,,1.00
308,07/20/22 10:57:47 PM,,0.00
309,07/20/22 10:58:02 PM,,1.00
310,07/20/22 10:59:21 PM,,0.00
311,07/20/22 11:01:36 PM,,1.00
312,07/20/22 11:02:36 PM,,0.00
313,07/20/22 11:02:47 PM,,1.00
314,07/20/22 11:03:53 PM,,0.00
315,07/20/22 11:10:07 PM,,1.00
316,07/20/22 11:11:08 PM,,0.00
317,07/20/22 11:16:17 PM,,1.00
318,07/20/22 11:17:18 PM,,0.00
319,07/20/22 11:18:40 PM,,1.00
320,07/20/22 11:21:22 PM,,0.00
321,07/20/22 11:25:45 PM,,1.00
322,07/20/22 11:27:15 PM,,0.00
323,07/20/22 11:27:43 PM,,1.00
324,07/20/22 11:29:01 PM,,0.00
325,07/20/22 11:46:11 PM,,1.00
326,07/20/22 11:47:25 PM,,0.00
327,07/21/22 12:27:37 AM,,1.00
328,07/21/22 12:42:34 AM,,0.00
329,07/21/22 12:43:07 AM,,1.00
330,07/21/22 12:50:06 AM,,0.00
331,07/21/22 12:50:32 AM,,1.00
332,07/21/22 12:53:57 AM,,0.00
333,07/21/22 12:54:27 AM,,1.00
334,07/21/22 01:05:27 AM,,0.00
335,07/21/22 01:06:58 AM,,1.00
336,07/21/22 01:12:16 AM,,0.00
337,07/21/22 01:14:58 AM,,1.00
338,07/21/22 01:16:09 AM,,0.00
339,07/21/22 01:22:55 AM,,1.00
340,07/21/22 01:24:09 AM,,0.00
341,07/21/22 01:25:46 AM,,1.00
342,07/21/22 01:26:47 AM,,0.00
343,07/21/22 01:27:47 AM,,1.00
344,07/21/22 01:29:24 AM,,0.00
