Obs_No,Date,Time,Loc_Type,Age,Gender,Residency_Year,Own_Refrigerator?,Own_Washing_Machine?,Own_TV?,Own_Ceiling_fan?,Own_Exhaust_Fan?,Own_Air-cooler?,Own_AC?,Own_Computer?,Others?,Metabolic_Rate  [W/m2],Clothing_insulation,Window_Status,Balcony_Door,Door_Status,Window_Curtains,Lights,Exhaust_fans,Ceiling_fans,Air-coolers,AC,Temperature_Indoor [C],Temperature_Indoor_Globe [C],Relative_Humidity_Indoor [%],Air_Speed_Indoor [m/s],Illumination_Indoor [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%]
404,"Thursday, May 9, 2019",12:29,L2,62,Female,5 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,1.9,0.78,open ,open ,open ,Up,on,Not Available,on,Not Available,Not Available,31.3,31.8,57.5,0.75,96,29.2,53.1
405,"Thursday, May 9, 2019",17:54,L2,62,Female,5 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,0.9,0.78,close,open ,open ,Up,on,Not Available,on,Not Available,Not Available,30.3,31.1,60.3,0.65,145,29.2,53.1
406,"Friday, May 10, 2019",15:00,L2,62,Female,5 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,0.9,0.78,close,open ,close,Up,on,Not Available,on,Not Available,Not Available,31.6,32.5,58.7,0.19,126,29.1,53.1
407,"Tuesday, September 4, 2018",12:41,L2,45,Female,5 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,2,0.78,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,28.8,29.4,83.3,0.48,20,25,53.1
408,"Tuesday, September 4, 2018",17:49,L2,45,Female,5 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,0.9,0.78,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,29.4,29.1,78.2,1.19,48,25,53.1
409,"Tuesday, September 4, 2018",20:21,L2,45,Female,5 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,0.9,0.78,close,open,open ,Down,on,Not Available,on,Not Available,Not Available,28.6,28.7,78.3,0.61,58,25,53.1
410,"Tuesday, September 4, 2018",12:47,L2,48,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.44,close,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,29,29.5,74.9,0.78,38,25,53.1
411,"Tuesday, September 4, 2018",17:59,L2,48,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.44,close,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,28.6,29.4,73.6,0.13,8,25,66.7
412,"Tuesday, September 4, 2018",20:08,L2,48,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.44,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,28.8,28.9,74.5,0.11,35,25,66.7
413,"Friday, January 18, 2019",12:05,L2,48,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.44,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,28.3,28.9,39.3,0.15,127,25.7,66.7
414,"Friday, January 18, 2019",16:15,L2,48,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.7,0.44,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,29,29,43.1,0.1,71,25.7,66.7
415,"Friday, January 18, 2019",19:55,L2,48,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.44,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,27.7,28.4,44.7,0,25,25.7,66.7
416,"Thursday, May 9, 2019",12:10,L2,48,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.44,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,30.7,31.9,63.7,0.21,70,29.2,66.7
417,"Thursday, May 9, 2019",18:01,L2,48,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.44,open ,open ,open ,Not Available,off,Not Available,off,Not Available,Not Available,30.8,31.3,60.4,0,16,29.2,66.7
418,"Friday, May 10, 2019",15:16,L2,48,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.44,open ,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,32.5,32.7,56.1,0.58,134,29.1,66.7
419,"Tuesday, September 4, 2018",12:51,L2,83,Male ,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.63,close,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,29.1,29.6,74.7,0.6,32,25,66.7
420,"Tuesday, September 4, 2018",17:55,L2,83,Male ,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.63,close,open ,open ,Not Available,off,Not Available,off,Not Available,Not Available,28.3,29.5,75.1,0.12,11,25,64.7
421,"Tuesday, September 4, 2018",20:05,L2,83,Male ,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.63,close,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.8,28.5,76.5,0.46,80,25,64.7
422,"Thursday, May 9, 2019",12:12,L2,83,Male ,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.63,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,30.7,31.9,63.8,0.5,79,29.2,64.7
423,"Thursday, May 9, 2019",18:02,L2,83,Male ,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.44,open ,open ,open ,Not Available,off,Not Available,off,Not Available,Not Available,30.9,31.3,59.9,0.15,19,29.2,64.7
424,"Tuesday, September 4, 2018",12:55,L2,20,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,1.9,0.41,close,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.6,29.5,77.2,0.27,38,25,64.7
425,"Tuesday, September 4, 2018",20:19,L2,20,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,2,0.41,close,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,28,28.8,78.8,0.98,20,25,64.7
426,"Friday, January 18, 2019",12:08,L2,20,Female,3 years,Yes,No,Yes,Yes,Yes,No,No,No,Yes,0.9,0.56,open ,open ,open ,Not Available,off,off,on,Not Available,Not Available,28.9,28.9,41.8,0.27,155,25.7,64.7
427,"Friday, January 18, 2019",16:18,L2,20,Female,3 years,Yes,No,Yes,Yes,Yes,No,No,No,Yes,0.9,0.56,close,open ,open ,Not Available,off,off,off,Not Available,Not Available,29.7,30,47.3,0.26,44,25.7,64.7
428,"Friday, January 18, 2019",19:45,L2,20,Female,3 years,Yes,No,Yes,Yes,Yes,No,No,No,Yes,0.9,0.41,close,open ,open ,Not Available,on,off,off,Not Available,Not Available,27.9,27.3,47.9,0.26,18,25.7,64.7
429,"Thursday, May 9, 2019",12:17,L2,20,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,0.9,0.43,open ,open ,open ,Up,off,Not Available,on,Not Available,Not Available,31.4,31.9,58.1,0.39,54,29.2,64.7
430,"Thursday, May 9, 2019",18:05,L2,20,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,1.2,0.43,open ,close,open ,Down,off,Not Available,on,Not Available,Not Available,31.8,32,56.8,0.2,14,29.2,64.7
431,"Friday, May 10, 2019",15:23,L2,20,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,1.9,0.43,open ,open ,open ,Up,off,Not Available,off,Not Available,Not Available,32.7,33.2,56.2,0.13,94,29.1,64.7
432,"Tuesday, September 4, 2018",12:58,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,0.7,0.29,close,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.5,29.3,76.6,0.31,41,25,64.7
433,"Tuesday, September 4, 2018",20:15,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,2,0.29,close,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.3,28.8,78.8,0.67,19,25,64.7
434,"Friday, January 18, 2019",16:20,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,1.9,0.78,close,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,30,30.6,41.5,0.85,47,25.7,64.7
435,"Friday, January 18, 2019",19:47,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,2,0.29,close,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.3,28.1,46.3,0.54,48,25.7,64.7
436,"Thursday, May 9, 2019",12:19,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,0.7,0.29,open ,open ,open ,Up,off,Not Available,on,Not Available,Not Available,31.5,31.7,58.7,0.25,53,29.2,64.7
437,"Thursday, May 9, 2019",18:06,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,0.9,0.29,open ,close,open ,Down,off,Not Available,on,Not Available,Not Available,31.8,31.8,57,0.23,14,29.2,64.7
438,"Friday, May 10, 2019",15:19,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,0.7,0.29,open ,open ,open ,Up,off,Not Available,on,Not Available,Not Available,32.7,33.2,56.3,0.45,76,29.1,64.7
439,"Tuesday, September 4, 2018",13:00,L2,21,Male ,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,0.7,0.48,close,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.5,29.2,76.9,0.38,38,25,64.7
440,"Tuesday, September 4, 2018",20:13,L2,21,Male ,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,0.9,0.29,close,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.2,28.9,78.7,0.47,18,25,64.7
441,"Friday, January 18, 2019",12:11,L2,21,Male ,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,2,0.63,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,29.3,29.2,44.7,0,133,25.7,64.7
442,"Friday, January 18, 2019",16:21,L2,21,Male ,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,1.9,0.63,close,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,30.2,30.6,41.3,0.22,51,25.7,64.7
443,"Friday, January 18, 2019",19:49,L2,21,Male ,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,1.2,0.8,close,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.5,28.8,45.9,0.62,48,25.7,64.7
444,"Thursday, May 9, 2019",12:14,L2,21,Male ,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,0.9,0.44,open ,open ,open ,Up,off,Not Available,on,Not Available,Not Available,31.4,31.7,58.1,1.01,56,29.2,64.7
445,"Thursday, May 9, 2019",18:04,L2,21,Male ,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,0.7,0.8,open ,close,open ,Down,off,Not Available,on,Not Available,Not Available,31.7,31.8,57.1,0.13,14,29.2,39
446,"Friday, May 10, 2019",15:22,L2,21,Male ,3 years,Yes,No,Yes,Yes,No,No,No,No,Yes,0.9,0.8,open ,open ,open ,Up,off,Not Available,on,Not Available,Not Available,32.1,33.2,56.1,0.1,91,29.1,39
447,"Tuesday, September 4, 2018",13:06,L2,53,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,2,0.78,open ,close,open ,Up,on,Not Available,on,Not Available,off,28.7,29.4,80.2,0.66,110,25,39
448,"Tuesday, September 4, 2018",17:34,L2,53,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.78,open ,close,open ,Up,on,Not Available,on,Not Available,off,28.3,29.2,77.8,0.19,44,25,39
449,"Tuesday, September 4, 2018",19:44,L2,53,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.9,0.78,close,close,close,Up,on,Not Available,on,Not Available,off,28.1,29,81.3,1.19,50,25,39
450,"Friday, January 18, 2019",11:53,L2,53,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,2,0.78,open ,close,close,Down,on,Not Available,off,Not Available,off,28.3,28.9,48.4,0,146,25.7,39
451,"Friday, January 18, 2019",16:00,L2,53,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,2,0.78,open ,close,open ,Down,on,Not Available,on,Not Available,off,27.9,28.8,49.9,0.55,8,25.7,39
452,"Thursday, May 9, 2019",12:01,L2,53,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,2,0.78,open ,close,open ,Up,off,Not Available,on,Not Available,off,30.8,32.4,60.4,0.86,10,29.2,39
453,"Thursday, May 9, 2019",17:46,L2,53,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.2,0.78,open ,close,open ,Up,on,Not Available,on,Not Available,off,30.4,31.1,60.9,0.71,86,29.2,39
454,"Friday, May 10, 2019",14:50,L2,53,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.78,open ,close,open ,Up,off,Not Available,on,Not Available,off,31.5,32.6,58.6,1.1,37,29.1,39
455,"Tuesday, September 4, 2018",13:09,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,2,0.78,open ,close,open ,Up,on,Not Available,on,Not Available,off,29,29.3,80.2,0.15,23,25,39
456,"Tuesday, September 4, 2018",17:36,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.2,0.78,open ,close,open ,Up,on,Not Available,on,Not Available,off,28.3,29.1,78.3,0.18,62,25,39
457,"Tuesday, September 4, 2018",19:48,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.9,0.78,close,close,close,Up,on,Not Available,on,Not Available,off,28.3,28.8,80.3,0.28,58,25,39
458,"Friday, January 18, 2019",11:55,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,2,0.78,open ,close,close,Down,on,Not Available,off,Not Available,off,28.2,28.7,51.2,0,124,25.7,39
459,"Friday, January 18, 2019",15:57,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.78,open ,close,open ,Down,on,Not Available,on,Not Available,off,28,29.1,48.9,0.45,13,25.7,39
460,"Thursday, May 9, 2019",12:03,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,2,0.78,open ,close,open ,Up,on,Not Available,on,Not Available,off,30.5,31.6,61.2,0.28,11,29.2,39
461,"Thursday, May 9, 2019",17:44,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.78,open ,close,open ,Up,off,Not Available,on,Not Available,off,30.3,31.3,60.7,0.75,22,29.2,39
462,"Friday, May 10, 2019",14:53,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.78,open ,close,open ,Up,off,Not Available,on,Not Available,off,31.3,32.2,59.4,0.46,29,29.1,39
463,"Friday, January 18, 2019",11:26,L2,32,Female,4 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.9,0.58,close,close,open ,Not Available,on,Not Available,off,off,Not Available,27.9,28.7,47.5,0,128,25.7,39
464,"Friday, January 18, 2019",15:46,L2,32,Female,4 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.7,0.58,open ,close,open ,Not Available,on,Not Available,off,off,Not Available,30.2,30.3,44.4,0.14,128,25.7,39
465,"Friday, January 18, 2019",20:23,L2,32,Female,4 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,1.9,0.74,close,close,open ,Not Available,on,Not Available,off,off,Not Available,26.3,25.6,51.3,0,96,25.7,39
466,"Friday, January 18, 2019",12:23,L2,48,Female,8 years,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,0.29,open ,close,open ,up,off,off,off,Not Available,Not Available,28.1,28.5,41.7,0.11,19,25.7,39
467,"Friday, January 18, 2019",16:26,L2,48,Female,8 years,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0.7,0.29,close,close,open ,up,on,off,off,Not Available,Not Available,29.2,29.8,45,0,41,25.7,39
468,"Friday, January 18, 2019",20:03,L2,48,Female,8 years,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0.9,0.78,close,close,open ,up,on,off,off,Not Available,Not Available,26.2,26.8,48.3,0,73,25.7,39
469,"Wednesday, September 5, 2018",11:46,L1,45,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.41,close,close,close,Not Available,off,Not Available,on,Not Available,Not Available,28.5,29.3,75.1,0.19,151,28.3,39
470,"Wednesday, September 5, 2018",14:00,L1,45,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.41,close,close,close,Not Available,off,Not Available,on,Not Available,Not Available,28.8,29.1,74.1,0.12,66,28.3,39
471,"Wednesday, September 5, 2018",16:44,L1,45,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.41,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,29.1,29.1,69.1,0.06,20,28.3,39
472,"Friday, January 25, 2019",11:47,L1,45,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.42,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,24.2,25.4,43.8,0,234,23.1,39
473,"Friday, January 25, 2019",14:04,L1,45,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.42,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,24.9,24.8,41.3,0,63,23.1,39
474,"Friday, January 25, 2019",17:42,L1,45,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.56,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,25.8,27.5,49.9,0,64,23.1,39
475,"Friday, May 17, 2019",11:11,L1,45,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.56,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,30.6,31.3,62.5,0,85,30.1,39
476,"Wednesday, September 5, 2018",11:56,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,1.2,0.78,close,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.7,29.5,73.8,0.21,42,28.3,39
477,"Wednesday, September 5, 2018",14:04,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.78,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.9,29.1,71.3,0.24,29,28.3,39
478,"Wednesday, September 5, 2018",17:00,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,0.7,0.78,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,29,29.3,68.4,0.06,23,28.3,39
479,"Friday, January 25, 2019",11:52,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,1.2,0.78,open ,close,open ,Up,on,Not Available,off,Not Available,Not Available,24.9,24.8,45,0,62,23.1,39
480,"Friday, January 25, 2019",16:46,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,0.7,0.29,open ,close,open ,Up,on,Not Available,off,Not Available,Not Available,25,26.4,46.9,0.12,40,23.1,39
481,"Friday, January 25, 2019",18:20,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,1.9,0.78,open ,close,open ,Up,on,Not Available,off,Not Available,Not Available,24.8,25.8,46.4,0.4,14,23.1,39
482,"Friday, May 17, 2019",10:35,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.78,open ,close,close,Up,on,Not Available,on,Not Available,Not Available,30.7,30.8,68.6,0.3,41,30.1,39
483,"Wednesday, September 5, 2018",12:01,L1,23,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,1.9,0.56,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,28.9,29.6,73.7,2.47,108,28.3,39
484,"Wednesday, September 5, 2018",14:08,L1,23,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,0.7,0.56,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,29.1,29.4,80,1.3,62,28.3,39
485,"Wednesday, September 5, 2018",16:50,L1,23,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,0.7,0.56,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,29.3,29.4,71.7,2.8,93,28.3,39
486,"Friday, January 25, 2019",11:55,L1,23,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.74,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,24.9,24.8,43.8,0,26,23.1,39
487,"Friday, January 25, 2019",14:11,L1,23,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,0.7,0.44,close,close,close,Not Available,on,Not Available,off,Not Available,Not Available,25.4,25.3,47.5,0,24,23.1,39
488,"Friday, January 25, 2019",17:48,L1,23,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.74,close,close,close,Not Available,on,Not Available,off,Not Available,Not Available,25.2,26,47.4,0,34,23.1,39
489,"Wednesday, September 5, 2018",12:07,L1,41,Female,4 years,Yes,No,Yes,Yes,Yes,No,No,No,No,1.9,0.78,open ,close,open ,Down,on,off,on,Not Available,Not Available,29,29.7,72.6,2.61,19,28.3,39
490,"Wednesday, September 5, 2018",14:11,L1,41,Female,4 years,Yes,No,Yes,Yes,Yes,No,No,No,No,1.2,0.78,open ,close,open ,Down,on,off,on,Not Available,Not Available,29.2,29.4,74.6,2.89,36,28.3,48.2
491,"Wednesday, September 5, 2018",16:51,L1,41,Female,4 years,Yes,No,Yes,Yes,Yes,No,No,No,No,2,0.29,open ,close,open ,Down,on,off,on,Not Available,Not Available,29,29.4,74.2,2.59,86,28.3,48.2
492,"Friday, January 25, 2019",11:58,L1,41,Female,4 years,Yes,No,Yes,Yes,Yes,No,No,No,No,0.9,0.44,close,close,open ,Down,on,off,off,Not Available,Not Available,24.9,24.9,42.2,0,17,23.1,48.2
493,"Friday, January 25, 2019",14:14,L1,41,Female,4 years,Yes,No,Yes,Yes,Yes,No,No,No,No,2,0.44,open ,close,open ,Down,on,off,off,Not Available,Not Available,25.7,25.5,42,0,10,23.1,48.2
494,"Friday, January 25, 2019",18:25,L1,41,Female,4 years,Yes,No,Yes,Yes,Yes,No,No,No,No,1.9,0.44,open ,close,open ,Down,on,off,off,Not Available,Not Available,25.2,25.4,49.2,0.22,5,23.1,48.2
495,"Friday, May 17, 2019",10:40,L1,41,Female,4 years,Yes,No,Yes,Yes,Yes,No,No,No,No,0.9,0.44,open ,close,open ,Down,on,off,on,Not Available,Not Available,30.7,31.1,67.8,0.39,19,30.1,48.2
496,"Wednesday, September 5, 2018",12:12,L1,40,Female,7 years,Yes,No,Yes,Yes,No,No,No,No,No,2,0.29,open ,close,open ,Up,off,Not Available,on,Not Available,Not Available,28.8,29.5,72.8,0.21,24,28.3,48.2
497,"Wednesday, September 5, 2018",14:31,L1,40,Female,7 years,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,close,open ,Up,off,Not Available,on,Not Available,Not Available,29,29.8,70.9,0.9,66,28.3,48.2
498,"Wednesday, September 5, 2018",16:55,L1,40,Female,7 years,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,close,open ,Up,off,Not Available,on,Not Available,Not Available,28.7,29.3,69.1,0.26,66,28.3,48.2
499,"Friday, January 25, 2019",12:02,L1,40,Female,7 years,Yes,No,Yes,Yes,No,No,No,No,No,1.9,0.78,open ,close,open ,Down,off,Not Available,off,Not Available,Not Available,25.1,25,40.6,0,17,23.1,48.2
500,"Friday, January 25, 2019",14:15,L1,40,Female,7 years,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.78,open ,close,open ,Up,off,Not Available,off,Not Available,Not Available,25.8,25.6,41.9,0,38,23.1,48.2
501,"Friday, January 25, 2019",17:51,L1,40,Female,7 years,Yes,No,Yes,Yes,No,No,No,No,No,2,0.78,open ,close,open ,Up,off,Not Available,off,Not Available,Not Available,25.2,25.7,48.3,0,29,23.1,48.2
502,"Wednesday, September 5, 2018",12:19,L1,26,Male ,2 years,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.69,close,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.9,29.4,75.5,0.42,43,28.3,48.2
503,"Wednesday, September 5, 2018",12:34,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,1.9,0.29,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,29,29.9,71.3,0.42,45,28.3,48.2
504,"Wednesday, September 5, 2018",14:40,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,1.2,0.29,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,29.1,29.5,72.6,0.13,9,28.3,48.2
505,"Friday, January 25, 2019",12:08,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,2,0.29,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,25.4,24.9,43.5,0,27,23.1,48.2
506,"Friday, January 25, 2019",14:20,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.39,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,25.8,25.9,39.5,0,4,23.1,48.2
507,"Friday, January 25, 2019",18:28,L1,50,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,close,open ,Not Available,,Not Available,off,Not Available,Not Available,25,25.2,46.9,0,2,23.1,48.2
508,"Wednesday, September 5, 2018",12:37,L1,22,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.46,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,29,29.8,70.6,0.76,24,28.3,48.2
509,"Wednesday, September 5, 2018",14:38,L1,22,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.46,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,29.1,29.4,70.4,0.26,19,28.3,48.2
510,"Friday, January 25, 2019",12:12,L1,22,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,1.9,0.29,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,25.5,25.4,41.4,0,29,23.1,48.2
511,"Friday, January 25, 2019",14:21,L1,22,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,1.2,0.39,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,25.6,25.9,40.3,0,47,23.1,48.2
512,"Friday, January 25, 2019",18:29,L1,22,Female,10 years or more,Yes,No,Yes,Yes,No,No,No,No,No,1.9,0.29,open ,close,open ,Not Available,,Not Available,off,Not Available,Not Available,25.1,25.3,45.7,0,2,23.1,48.2
513,"Wednesday, September 5, 2018",12:41,L1,20,Female,1 year,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,0.46,close,close,open ,Down,on,off,on,Not Available,Not Available,29.3,29.7,74.2,1.18,26,28.3,48.2
514,"Wednesday, September 5, 2018",14:45,L1,20,Female,1 year,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0.7,0.46,open ,close,open ,Down,on,off,on,Not Available,Not Available,29.2,29.5,70.6,0.14,27,28.3,48.2
515,"Wednesday, September 5, 2018",17:07,L1,20,Female,1 year,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,0.46,open ,close,open ,Down,on,off,on,Not Available,Not Available,29.1,29.4,72,0.44,53,28.3,48.2
516,"Friday, January 25, 2019",14:25,L1,20,Female,1 year,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,0.56,close,close,open ,Down,on,off,off,Not Available,Not Available,25.5,25.8,43.7,0,35,23.1,48.2
517,"Friday, January 25, 2019",17:54,L1,20,Female,1 year,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,0.56,close,close,open ,Down,on,off,off,Not Available,Not Available,25.1,25.5,50.5,0,30,23.1,48.2
