Obs_No,Date,Time,Loc_Type,Age,Gender,Residency_Year,Own_Refrigerator?,Own_Washing_Machine?,Own_TV?,Own_Ceiling_fan?,Own_Exhaust_Fan?,Own_Air-cooler?,Own_AC?,Own_Computer?,Others?,Metabolic_Rate  [W/m2],Clothing_insulation,Window_Status,Balcony_Door,Door_Status,Window_Curtains,Lights,Exhaust_fans,Ceiling_fans,Air-coolers,AC,Temperature_Indoor [C],Temperature_Indoor_Globe [C],Relative_Humidity_Indoor [%],Air_Speed_Indoor [m/s],Illumination_Indoor [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%]
243,"Sunday, September 2, 2018",18:38,L2,37,Male ,Less than 1 year,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.7,0.29,open ,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,27.9,28,77.3,0.76,6,24.5,81.4
244,"Sunday, September 2, 2018",11:16,L2,17,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,0.9,0.44,close,close,open ,Not Available,on,Not Available,on,off,Not Available,28.9,29.5,78.1,1.15,78,24.5,81.4
245,"Sunday, September 2, 2018",18:29,L2,18,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,0.9,0.44,open ,open ,open ,Not Available,on,Not Available,on,off,Not Available,27.7,28.9,77.3,1.2,47,24.5,81.4
246,"Sunday, September 2, 2018",11:25,L2,67,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,0.9,0.78,close,close,open ,Not Available,on,Not Available,on,off,Not Available,28.7,29.4,78.9,0.64,71,24.5,81.4
247,"Sunday, September 2, 2018",18:32,L2,67,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,2,0.78,open ,open ,open ,Not Available,on,Not Available,on,off,Not Available,27.7,28.5,77.1,0.2,58,24.5,81.4
248,"Sunday, September 2, 2018",11:31,L2,60,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.29,open ,close,close,Down,on,Not Available,on,Not Available,Not Available,28.7,29.5,81.8,0.71,25,24.5,81.4
249,"Sunday, September 2, 2018",18:24,L2,60,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.29,close,close,close,Down,on,Not Available,on,Not Available,Not Available,28.7,29.1,80,0.15,170,24.5,81.4
250,"Sunday, September 2, 2018",11:42,L2,26,Female,1 year,Yes,No,Yes,No,No,No,No,No,Yes,1.2,0.56,open ,open ,open ,Up,off,Not Available,on,Not Available,Not Available,27.7,28.8,79.1,1.02,10,24.5,81.4
251,"Sunday, September 2, 2018",16:10,L2,26,Female,1 year,Yes,No,Yes,No,No,No,No,No,Yes,1.2,0.64,open ,open ,close,Up,off,Not Available,on,Not Available,Not Available,27.7,28.5,79.3,1.23,8,24.5,81.4
252,"Sunday, September 2, 2018",18:44,L2,26,Female,1 year,Yes,No,Yes,No,No,No,No,No,Yes,0.9,0.64,open ,open ,open ,Up,on,Not Available,on,Not Available,Not Available,27.5,28,79.2,0.35,11,24.5,81.4
253,"Sunday, January 27, 2019",11:50,L2,26,Female,1 year,Yes,No,Yes,No,No,No,No,No,Yes,2,0.61,open ,close,close,up,off,Not Available,on,Not Available,Not Available,25.1,26.2,50.3,0.23,19,23.5,81.4
254,"Sunday, January 27, 2019",17:26,L2,26,Female,1 year,Yes,No,Yes,No,No,No,No,No,Yes,1.2,0.58,close,open ,close,Down,on,Not Available,on,Not Available,Not Available,26.1,26.7,48.6,0,38,23.5,81.4
255,"Sunday, January 27, 2019",19:45,L2,26,Female,1 year,Yes,No,Yes,No,No,No,No,No,Yes,0.9,0.88,close,open ,close,Down,on,Not Available,off,Not Available,Not Available,25,25.7,54.4,0,39,23.5,81.4
256,"Sunday, September 2, 2018",11:45,L2,26,Male ,1 year,Yes,No,Yes,No,No,No,No,No,Yes,0.9,0.55,open ,open ,open ,Up,off,Not Available,on,Not Available,Not Available,27.6,28.5,80,0.33,9,24.5,81.4
257,"Sunday, September 2, 2018",16:16,L2,26,Male ,1 year,Yes,No,Yes,No,No,No,No,No,Yes,0.7,0.48,open ,close,close,Up,off,Not Available,on,Not Available,Not Available,27.7,28.5,79.5,0.26,18,24.5,81.4
258,"Sunday, September 2, 2018",18:48,L2,26,Male ,1 year,Yes,No,Yes,No,No,No,No,No,Yes,1.9,0.49,open ,close,open ,Up,on,Not Available,off,Not Available,Not Available,27.7,28.1,78.3,0.06,55,24.5,81.4
259,"Sunday, January 27, 2019",11:46,L2,26,Male ,1 year,Yes,No,Yes,No,No,No,No,No,Yes,1.2,0.48,open ,open ,close,Down,on,Not Available,on,Not Available,Not Available,25.5,26.8,46.5,0.85,54,23.5,81.4
260,"Sunday, September 2, 2018",11:51,L2,28,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,1.9,0.29,open ,close,close,Not Available,on,Not Available,off,Not Available,Not Available,27.8,28.4,77.1,0.07,27,24.5,81.4
261,"Sunday, September 2, 2018",16:20,L2,28,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.7,0.29,open ,close,close,Not Available,on,Not Available,off,Not Available,Not Available,28.1,28.5,79.3,0.11,20,24.5,81.4
262,"Sunday, September 2, 2018",18:52,L2,28,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.41,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,27.5,28.1,78.3,0.13,18,24.5,81.4
263,"Sunday, January 27, 2019",12:09,L2,28,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,25.6,25.9,44.9,0,8,23.5,81.4
264,"Sunday, September 2, 2018",11:59,L2,43,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,Yes,1.9,0.49,close,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.1,28.5,79.7,0.42,26,24.5,81.4
265,"Sunday, September 2, 2018",16:17,L2,43,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,Yes,0.7,0.48,open ,close,close,Not Available,on,Not Available,on,Not Available,Not Available,28,28.3,81.8,0.51,22,24.5,81.4
266,"Sunday, September 2, 2018",18:56,L2,43,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,Yes,2,0.48,close,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.1,28.3,79.4,0.18,85,24.5,81.4
267,"Sunday, January 27, 2019",17:01,L2,43,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,Yes,1.9,0.48,close,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,25.2,26.1,49.5,0.36,28,23.5,81.4
268,"Sunday, January 27, 2019",12:13,L2,17,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.48,close,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,25.4,25.7,52.3,0.25,103,23.5,81.4
269,"Sunday, January 27, 2019",16:57,L2,17,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.48,close,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,25.4,26.3,53,0.2,26,23.5,81.4
270,"Sunday, January 27, 2019",20:04,L2,17,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.48,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,25.2,25.7,58.6,0,71,23.5,81.4
271,"Sunday, September 2, 2018",12:04,L2,23,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,2,0.41,open ,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,28.6,29,76.9,0.64,11,24.5,81.4
272,"Sunday, September 2, 2018",16:23,L2,23,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.41,open ,open ,close,Not Available,off,Not Available,on,Not Available,Not Available,28.8,28.9,78.6,0.29,10,24.5,81.4
273,"Sunday, September 2, 2018",19:01,L2,23,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,1.9,0.41,open ,open ,close,Not Available,on,Not Available,on,Not Available,Not Available,28.6,28.7,76.5,0.24,16,24.5,81.4
274,"Sunday, January 27, 2019",12:18,L2,23,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,2,0.49,close,close,close,Not Available,on,Not Available,off,Not Available,Not Available,26.1,25.7,59,0,18,23.5,81.4
275,"Sunday, January 27, 2019",17:11,L2,23,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.46,open ,close,close,Not Available,off,Not Available,off,Not Available,Not Available,26.8,26.9,47.2,0,18,23.5,81.4
276,"Sunday, January 27, 2019",20:09,L2,23,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,1.2,0.76,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,25.5,25.9,48.2,0.21,21,23.5,81.4
277,"Sunday, May 19, 2019",12:02,L2,23,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.7,0.46,open ,open ,close,Not Available,off,Not Available,on,Not Available,Not Available,33.3,33.6,56.6,0.15,30,31.4,81.4
278,"Sunday, May 19, 2019",19:47,L2,23,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.46,close,open ,close,Not Available,on,Not Available,on,Not Available,Not Available,32.6,32.9,62.7,0.21,27,31.4,56.8
279,"Sunday, September 2, 2018",12:06,L2,33,Male ,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.48,open ,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,28.5,29.1,76.3,0.22,12,24.5,56.8
280,"Sunday, September 2, 2018",16:26,L2,33,Male ,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.49,open ,open ,close,Not Available,off,Not Available,on,Not Available,Not Available,28.9,29.1,77.7,0.68,19,24.5,56.8
281,"Sunday, September 2, 2018",18:59,L2,33,Male ,1 year,Yes,No,Yes,Yes,No,No,No,No,No,1.2,0.49,open ,open ,close,Not Available,on,Not Available,on,Not Available,Not Available,28.7,28.9,76.8,0.35,17,24.5,56.8
