,Temp C
2022-07-20 20:45:00,24.86616666666667
2022-07-20 21:00:00,24.7686
2022-07-20 21:15:00,24.69493333333333
2022-07-20 21:30:00,24.6332
2022-07-20 21:45:00,24.578433333333333
2022-07-20 22:00:00,24.5074
2022-07-20 22:15:00,24.411833333333334
2022-07-20 22:30:00,24.409333333333333
2022-07-20 22:45:00,24.456200000000003
2022-07-20 23:00:00,24.480200000000004
2022-07-20 23:15:00,24.498600000000003
2022-07-20 23:30:00,24.4978
2022-07-20 23:45:00,24.4826
2022-07-21 00:00:00,24.481800000000003
2022-07-21 00:15:00,24.474600000000002
2022-07-21 00:30:00,24.465
2022-07-21 00:45:00,24.4634
2022-07-21 01:00:00,24.461000000000002
2022-07-21 01:15:00,24.477800000000002
2022-07-21 01:30:00,24.502600000000005
2022-07-21 01:45:00,24.5162
2022-07-21 02:00:00,24.5354
2022-07-21 02:15:00,24.5482
2022-07-21 02:30:00,24.560200000000002
2022-07-21 02:45:00,24.561
2022-07-21 03:00:00,24.561833333333333
2022-07-21 03:15:00,24.576833333333333
2022-07-21 03:30:00,24.5835
2022-07-21 03:45:00,24.5835
2022-07-21 04:00:00,24.586
2022-07-21 04:15:00,24.5835
2022-07-21 04:30:00,24.57016666666667
2022-07-21 04:45:00,24.561
2022-07-21 05:00:00,24.561
2022-07-21 05:15:00,24.5426
2022-07-21 05:30:00,24.5338
2022-07-21 05:45:00,24.509000000000004
2022-07-21 06:00:00,24.489
2022-07-21 06:15:00,24.468200000000003
2022-07-21 06:30:00,24.4506
2022-07-21 06:45:00,24.4386
2022-07-21 07:00:00,24.4218
2022-07-21 07:15:00,24.416999999999998
2022-07-21 07:30:00,24.413666666666668
2022-07-21 07:45:00,24.397
2022-07-21 08:00:00,24.392
2022-07-21 08:15:00,24.392
2022-07-21 08:30:00,24.392833333333332
2022-07-21 08:45:00,24.411800000000003
2022-07-21 09:00:00,24.50743333333333
2022-07-21 09:15:00,24.639599999999998
2022-07-21 09:30:00,24.746
2022-07-21 09:45:00,24.8476
2022-07-21 10:00:00,24.916800000000002
2022-07-21 10:15:00,24.983166666666666
2022-07-21 10:30:00,25.0583
2022-07-21 10:45:00,25.115599999999997
2022-07-21 11:00:00,25.153666666666666
2022-07-21 11:15:00,25.1678
2022-07-21 11:30:00,25.187
2022-07-21 11:45:00,25.2118
2022-07-21 12:00:00,25.230200000000004
2022-07-21 12:15:00,25.239833333333333
2022-07-21 12:30:00,25.259
2022-07-21 12:45:00,25.2696
2022-07-21 13:00:00,25.2872
2022-07-21 13:15:00,25.2688
2022-07-21 13:30:00,25.266399999999997
2022-07-21 13:45:00,25.2792
2022-07-21 14:00:00,25.3112
2022-07-21 14:15:00,25.335199999999997
2022-07-21 14:30:00,25.368066666666667
2022-07-21 14:45:00,25.385
2022-07-21 15:00:00,25.3946
2022-07-21 15:15:00,25.4226
2022-07-21 15:30:00,25.433833333333332
